,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound
0,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.470819950104,"(7, 5)",72
1,symmetric,None,Gurobi,64,224,8,unbounded,16,236.58596205711365,"(6, 1)",65
2,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.350635051727,"(7, 4)",71
3,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.09968495369,"(3, 1)",71
4,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.101691961288,"(6, 5)",72
5,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.414509057999,"(6, 3)",66
6,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.064976930618,"(3, 7)",71
7,symmetric,None,Gurobi,64,224,8,unbounded,16,18.271136045455933,"(1, 5)",65
8,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.027959823608,"(2, 7)",65
9,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.478717803955,"(5, 2)",71
10,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.09365105629,"(4, 3)",66
11,symmetric,None,Gurobi,64,224,8,unbounded,16,2363.739429950714,"(3, 5)",65
12,symmetric,None,Gurobi,64,224,8,unbounded,16,3488.870458126068,"(1, 2)",65
13,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.060575962067,"(1, 1)",97
14,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.05217409134,"(5, 5)",91
15,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.23572397232,"(2, 6)",66
16,symmetric,None,Gurobi,64,224,8,unbounded,16,2045.561893939972,"(4, 0)",65
17,symmetric,None,Gurobi,64,224,8,unbounded,16,8.183115005493164,"(2, 3)",65
18,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.032983064651,"(4, 6)",67
19,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.039103984833,"(0, 2)",71
20,symmetric,None,Gurobi,64,224,8,unbounded,16,158.39640092849731,"(0, 5)",65
21,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.068717956543,"(1, 0)",78
22,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.355662822723,"(6, 6)",70
23,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.038350105286,"(1, 7)",65
24,symmetric,None,Gurobi,64,224,8,unbounded,16,31.48080587387085,"(1, 4)",64
25,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.21330690384,"(5, 4)",72
26,symmetric,None,Gurobi,64,224,8,unbounded,16,49.814414978027344,"(3, 0)",64
27,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.042754888535,"(7, 6)",72
28,symmetric,None,Gurobi,64,224,8,unbounded,16,10358.487031936646,"(0, 6)",65
29,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.178498029709,"(2, 4)",66
30,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.463390827179,"(3, 3)",69
31,symmetric,None,Gurobi,64,224,8,unbounded,16,23.53692388534546,"(0, 7)",65
32,symmetric,None,Gurobi,64,224,8,unbounded,16,10800.240298986435,"(2, 2)",69
33,symmetric,None,Gurobi,64,224,8,unbounded,16,21600.2575070858,"(0, 0)",97
34,symmetric,None,Gurobi,64,224,8,unbounded,16,21600.073794841766,"(7, 7)",90
35,symmetric,None,Gurobi,64,224,8,unbounded,16,21600.0273501873,"(4, 4)",69
